city,date,temp_max,temp_min,temp_avg,wind_speed,precipitation,humidity,data_source,danger_label,risk_level
tunisia,2016-07-14,29.0,22.0,25.5,33.5,0.0,50.1,historical,1,Yellow
tunisia,2016-07-15,27.9,21.0,24.0,43.1,0.0,48.1,historical,1,Yellow
tunisia,2016-07-16,29.0,20.1,24.2,29.4,0.0,51.0,historical,1,Yellow
tunisia,2016-07-17,30.0,16.0,24.4,25.5,0.0,54.5,historical,1,Yellow
tunisia,2016-07-18,31.0,20.0,25.6,24.4,0.0,55.3,historical,1,Yellow
tunisia,2016-07-19,31.0,18.0,25.0,27.6,0.0,58.7,historical,1,Yellow
tunisia,2016-07-20,34.8,18.0,26.6,20.5,0.0,49.7,historical,1,Yellow
tunisia,2016-07-21,36.0,17.3,28.4,16.4,0.0,43.0,historical,1,Yellow
tunisia,2016-07-22,38.9,24.0,31.6,27.6,0.0,33.9,historical,2,Orange
tunisia,2016-07-23,33.9,25.0,29.2,22.4,0.0,45.3,historical,1,Yellow
tunisia,2016-07-24,31.9,23.0,27.4,25.7,0.205,58.8,historical,1,Yellow
tunisia,2016-07-25,31.9,24.0,27.3,34.1,0.0,58.8,historical,1,Yellow
tunisia,2016-07-26,32.9,23.8,27.6,27.7,0.0,59.0,historical,1,Yellow
tunisia,2016-07-27,33.2,23.0,28.1,30.6,0.0,52.9,historical,1,Yellow
tunisia,2016-07-28,33.9,23.0,28.5,25.8,0.0,46.6,historical,1,Yellow
tunisia,2016-07-29,34.9,23.0,28.1,25.8,0.0,48.5,historical,1,Yellow
tunisia,2016-07-30,34.0,20.8,27.0,19.4,0.001,65.1,historical,1,Yellow
tunisia,2016-07-31,38.0,21.7,29.6,14.8,0.19,53.3,historical,1,Yellow
tunisia,2016-08-01,38.9,24.9,30.7,25.3,0.0,45.5,historical,2,Orange
tunisia,2016-08-02,32.8,23.5,28.1,30.1,0.0,48.1,historical,1,Yellow
tunisia,2016-08-03,31.9,23.0,26.7,31.5,0.0,61.6,historical,1,Yellow
tunisia,2016-08-04,33.0,19.4,27.0,16.6,0.0,58.3,historical,1,Yellow
tunisia,2016-08-05,35.9,21.0,28.6,23.5,0.0,53.7,historical,2,Orange
tunisia,2016-08-06,30.0,23.9,26.5,37.1,0.0,55.4,historical,1,Yellow
tunisia,2016-08-07,31.0,23.0,26.2,31.1,0.0,57.9,historical,1,Yellow
tunisia,2016-08-08,31.9,22.0,26.5,27.6,0.0,61.6,historical,1,Yellow
tunisia,2016-08-09,31.9,22.0,26.4,22.1,0.0,62.4,historical,1,Yellow
tunisia,2016-08-10,31.0,20.0,26.3,23.1,0.0,62.3,historical,1,Yellow
tunisia,2016-08-11,29.9,23.0,25.6,29.5,0.0,50.2,historical,1,Yellow
tunisia,2016-08-12,30.0,21.4,25.0,29.4,0.0,56.1,historical,1,Yellow
tunisia,2016-08-13,29.0,20.0,24.4,23.9,0.0,62.9,historical,1,Yellow
tunisia,2016-08-14,29.1,19.7,24.8,18.4,0.0,63.9,historical,0,Green
tunisia,2016-08-15,32.9,21.0,26.6,24.1,0.0,61.4,historical,1,Yellow
tunisia,2016-08-16,33.9,22.0,28.1,19.1,0.0,63.8,historical,1,Yellow
tunisia,2016-08-17,32.9,24.0,27.2,30.3,0.14,68.8,historical,1,Yellow
tunisia,2016-08-18,32.0,19.7,25.7,15.5,0.0,67.4,historical,1,Yellow
tunisia,2016-08-19,36.0,20.9,28.7,18.4,0.005,55.1,historical,1,Yellow
tunisia,2016-08-20,37.9,22.0,30.5,17.3,0.003,51.5,historical,1,Yellow
tunisia,2016-08-21,35.4,24.0,29.1,27.7,0.0,59.3,historical,2,Orange
tunisia,2016-08-22,30.9,23.0,26.4,36.8,0.0,56.1,historical,1,Yellow
tunisia,2016-08-23,29.0,22.0,25.1,38.8,0.012,62.7,historical,1,Yellow
tunisia,2016-08-24,30.0,22.0,25.4,33.3,0.0,63.6,historical,1,Yellow
tunisia,2016-08-25,30.0,22.2,25.9,22.2,0.0,68.3,historical,1,Yellow
tunisia,2016-08-26,31.1,21.0,26.1,21.4,0.0,68.1,historical,1,Yellow
tunisia,2016-08-27,34.0,23.0,28.2,20.6,0.005,65.8,historical,1,Yellow
tunisia,2016-08-28,34.0,23.0,28.1,22.3,0.0,67.5,historical,1,Yellow
tunisia,2016-08-29,34.0,24.0,27.8,16.5,0.003,68.1,historical,1,Yellow
tunisia,2016-08-30,35.9,23.0,28.9,19.8,0.0,57.5,historical,1,Yellow
tunisia,2016-08-31,32.0,23.6,26.8,24.1,0.013,72.5,historical,1,Yellow
tunisia,2016-09-01,32.0,23.0,26.9,31.5,0.0,65.9,historical,1,Yellow
tunisia,2016-09-02,31.9,23.0,26.6,31.5,0.0,66.2,historical,1,Yellow
tunisia,2016-09-03,32.9,22.0,27.3,23.8,0.0,62.9,historical,1,Yellow
tunisia,2016-09-04,32.9,22.0,27.2,22.3,0.001,55.1,historical,1,Yellow
tunisia,2016-09-05,35.9,23.0,29.6,29.8,0.0,32.7,historical,2,Orange
tunisia,2016-09-06,32.0,24.0,27.6,31.5,0.548,54.2,historical,1,Yellow
tunisia,2016-09-07,26.9,19.0,23.0,23.9,14.241,66.0,historical,1,Yellow
tunisia,2016-09-08,28.9,20.0,24.2,31.6,0.06,66.9,historical,1,Yellow
tunisia,2016-09-09,30.0,23.0,25.8,29.5,0.0,65.9,historical,1,Yellow
tunisia,2016-09-10,30.0,22.0,25.7,22.2,0.0,68.8,historical,1,Yellow
tunisia,2016-09-11,29.2,21.4,25.2,22.3,0.038,71.5,historical,1,Yellow
tunisia,2016-09-12,30.7,22.0,25.4,21.9,0.005,72.3,historical,1,Yellow
tunisia,2016-09-13,32.0,20.0,25.9,21.7,0.0,74.5,historical,1,Yellow
tunisia,2016-09-14,32.0,24.0,27.5,13.2,0.188,76.2,historical,1,Yellow
tunisia,2016-09-15,32.0,23.0,27.1,24.7,0.868,67.3,historical,1,Yellow
tunisia,2016-09-16,31.0,24.9,27.0,30.0,0.005,68.9,historical,1,Yellow
tunisia,2016-09-17,28.0,23.0,25.2,19.1,0.0,58.2,historical,0,Green
tunisia,2016-09-18,29.9,22.0,25.1,29.4,0.21,56.3,historical,1,Yellow
tunisia,2016-09-19,26.0,21.0,23.2,34.1,0.445,61.7,historical,1,Yellow
tunisia,2016-09-20,28.0,21.0,23.6,24.1,0.2,60.3,historical,1,Yellow
tunisia,2016-09-21,28.9,18.7,23.9,22.2,0.007,58.9,historical,1,Yellow
tunisia,2016-09-22,30.8,20.0,24.1,22.4,0.0,64.7,historical,1,Yellow
tunisia,2016-09-23,28.0,18.2,22.4,14.8,28.787,77.6,historical,1,Yellow
tunisia,2016-09-24,28.0,18.0,23.2,18.3,0.141,75.5,historical,0,Green
tunisia,2016-09-25,25.0,18.0,21.8,20.5,3.143,75.6,historical,0,Green
tunisia,2016-09-26,24.2,19.4,21.5,14.7,1.962,75.9,historical,0,Green
tunisia,2016-09-27,26.0,17.4,21.5,14.8,0.0,73.5,historical,0,Green
tunisia,2016-09-28,24.0,17.4,20.5,11.1,5.978,80.5,historical,0,Green
tunisia,2016-09-29,24.8,18.0,20.8,14.8,3.956,85.5,historical,0,Green
tunisia,2016-09-30,28.0,18.0,23.1,16.4,2.94,83.2,historical,0,Green
tunisia,2016-10-01,28.0,23.0,25.2,21.3,0.0,77.9,historical,1,Yellow
tunisia,2016-10-02,29.4,18.7,24.0,14.8,0.01,74.8,historical,0,Green
tunisia,2016-10-03,29.0,21.8,24.5,17.3,0.0,82.2,historical,0,Green
tunisia,2016-10-04,29.0,20.0,24.0,19.3,0.0,77.1,historical,0,Green
tunisia,2016-10-05,27.0,20.0,22.9,18.7,0.001,73.5,historical,0,Green
tunisia,2016-10-06,27.0,18.0,22.7,13.0,0.107,76.7,historical,0,Green
tunisia,2016-10-07,27.8,20.9,23.6,22.2,3.823,69.3,historical,1,Yellow
tunisia,2016-10-08,28.0,14.0,22.4,20.0,0.0,69.4,historical,0,Green
tunisia,2016-10-09,25.0,17.9,20.9,23.9,0.211,77.4,historical,0,Green
tunisia,2016-10-10,24.9,14.5,19.4,24.7,0.534,79.0,historical,0,Green
tunisia,2016-10-11,27.0,17.0,21.4,20.4,2.863,67.0,historical,1,Yellow
tunisia,2016-10-12,26.0,17.0,22.2,16.6,0.0,71.8,historical,0,Green
tunisia,2016-10-13,31.0,22.0,26.1,27.4,0.0,70.7,historical,1,Yellow
tunisia,2016-10-14,30.9,22.0,25.7,28.1,0.0,70.0,historical,1,Yellow
tunisia,2016-10-15,27.0,20.0,23.2,22.0,0.0,65.8,historical,1,Yellow
tunisia,2016-10-16,26.0,16.5,21.5,15.3,0.0,74.0,historical,0,Green
tunisia,2016-10-17,26.1,16.0,20.7,17.3,0.196,77.2,historical,0,Green
tunisia,2016-10-18,28.9,14.7,21.2,15.3,0.007,75.1,historical,0,Green
tunisia,2016-10-19,26.0,18.0,22.1,20.4,0.0,65.3,historical,1,Yellow
tunisia,2016-10-20,26.0,17.1,21.4,12.8,4.626,72.5,historical,0,Green
tunisia,2016-10-21,25.0,17.9,21.4,14.7,0.2,74.5,historical,0,Green
tunisia,2016-10-22,27.0,16.7,21.1,34.8,0.051,80.2,historical,1,Yellow
tunisia,2016-10-23,28.1,18.9,23.4,14.7,16.667,83.6,historical,1,Yellow
tunisia,2016-10-24,29.1,20.0,24.4,20.4,0.0,81.1,historical,1,Yellow
tunisia,2016-10-25,30.0,20.0,24.4,13.6,0.196,80.1,historical,0,Green
tunisia,2016-10-26,33.9,19.9,25.4,12.6,0.0,67.0,historical,1,Yellow
tunisia,2016-10-27,26.9,20.0,22.9,33.4,0.259,64.1,historical,1,Yellow
tunisia,2016-10-28,23.0,18.1,19.9,33.4,2.714,68.6,historical,0,Green
tunisia,2016-10-29,22.0,17.9,19.6,25.6,0.026,56.6,historical,0,Green
tunisia,2016-10-30,23.0,16.0,18.8,16.2,0.001,64.7,historical,0,Green
tunisia,2016-10-31,23.0,14.7,18.8,16.3,0.005,69.3,historical,0,Green
tunisia,2016-11-01,23.0,14.0,18.2,13.9,0.005,74.0,historical,0,Green
tunisia,2016-11-02,25.0,12.0,17.6,10.0,0.196,71.6,historical,0,Green
tunisia,2016-11-03,26.0,14.0,19.6,18.4,0.0,68.8,historical,0,Green
tunisia,2016-11-04,26.0,13.7,19.2,12.5,0.005,71.2,historical,0,Green
tunisia,2016-11-05,29.0,14.1,20.3,13.5,0.192,55.8,historical,0,Green
tunisia,2016-11-06,30.0,20.8,23.7,18.3,0.0,37.2,historical,0,Green
